id,timestamp,prob,type,amp
CI.CRR.,2020-10-01 00:01:41.250,0.88832015,P,8.283400210838222e-09
CI.CRR.,2020-10-01 00:01:59.200,0.6773619,P,2.6733048288670346e-11
CI.CRR.,2020-10-01 00:02:19.830,0.17538865,P,4.261829512635184e-09
CI.CRR.,2020-10-01 00:02:28.650,0.80116826,P,1.049959903859702e-08
CI.DRE.,2020-10-01 00:00:02.590,0.3957757,P,7.470265434148843e-09
CI.DRE.,2020-10-01 00:00:03.120,0.1752829,P,2.294979205020497e-08
CI.DRE.,2020-10-01 00:02:24.510,0.115431994,P,2.0228343735197888e-08
CI.ERR.,2020-10-01 00:01:11.510,0.2183544,P,1.2094716183361943e-08
CI.ERR.,2020-10-01 00:01:13.720,0.5966803,P,1.607909269917957e-09
CI.ERR.,2020-10-01 00:01:56.980,0.304233,P,1.1331082971210722e-08
CI.ERR.,2020-10-01 00:01:59.230,0.46097338,P,2.5908543622877087e-08
CI.ERR.,2020-10-01 00:02:26.520,0.931647,P,2.029130681430407e-08
CI.FRK.,2020-10-01 00:00:36.680,0.8988063,P,1.3946592034364457e-09
CI.FRK.,2020-10-01 00:01:02.290,0.90536815,P,3.608512814475693e-10
CI.FRK.,2020-10-01 00:01:12.750,0.40096533,P,1.7364466568356356e-09
CI.FRK.,2020-10-01 00:01:29.580,0.90958387,P,1.917540110646384e-09
CI.FRK.,2020-10-01 00:01:38.850,0.11574966,P,4.40261465200458e-10
CI.FRK.,2020-10-01 00:01:39.970,0.27632913,P,5.396994377826816e-10
CI.FRK.,2020-10-01 00:01:40.760,0.13162395,P,6.51537479691268e-11
CI.FRK.,2020-10-01 00:01:59.110,0.17533253,P,2.3179173631925351e-10
CI.FRK.,2020-10-01 00:02:27.270,0.96767104,P,3.231036741967641e-09
CI.IMP.,2020-10-01 00:00:33.500,0.9547242,P,1.4040063364127411e-08
CI.IMP.,2020-10-01 00:00:41.820,0.34051302,P,1.2824061017030637e-09
CI.IMP.,2020-10-01 00:00:59.310,0.15897135,P,6.999889943551018e-09
CI.IMP.,2020-10-01 00:01:10.270,0.97389174,P,3.976886786565278e-08
CI.IMP.,2020-10-01 00:01:26.000,0.953759,P,4.009722298613127e-08
CI.IMP.,2020-10-01 00:01:35.320,0.9042034,P,1.9834081270914035e-08
CI.IMP.,2020-10-01 00:01:55.480,0.947629,P,2.613379373686269e-09
CI.IMP.,2020-10-01 00:02:15.960,0.6023758,P,4.77157298742696e-10
