time,magnitude,longitude,latitude,depth_km,utmx,utmy
5/2/2020 0:35,,101.151127,-1.641167,0.703,739325.5621,9818472.523
5/2/2020 0:43,,101.15085,-1.640112,0.488,739294.8552,9818589.249
5/2/2020 0:43,,101.153437,-1.629612,0.597,739584.0565,9819750.338
5/2/2020 0:45,,101.14464,-1.644897,0.423,738603.0627,9818060.728
5/2/2020 0:51,,101.15157,-1.640462,0.681,739374.9557,9818550.449
5/2/2020 0:53,,101.148796,-1.645257,0.362,739065.6156,9818020.41
5/2/2020 0:57,,101.141696,-1.645882,0.44,738275.2559,9817952.13
5/2/2020 1:00,,101.146865,-1.645551,0.807,738850.6448,9817988.123
5/2/2020 1:53,,101.156182,-1.641461,0.49,739888.1923,9818439.398
5/2/2020 8:31,,101.147215,-1.639874,0.864,738890.2775,9818616.008
5/2/2020 8:31,,101.150135,-1.641495,0.712,739215.1052,9818436.362
5/2/2020 8:37,,101.150158,-1.641363,0.737,739217.681,9818450.959
5/2/2020 8:41,,101.147339,-1.639797,0.6,738904.0889,9818624.51
5/2/2020 19:35,,101.144684,-1.645313,0.424,738607.9108,9818014.709
5/2/2020 20:11,,101.15118,-1.644909,-0.452,739331.0157,9818058.617
6/2/2020 16:52,,101.152838,-1.640806,0.713,739516.054,9818512.248
6/2/2020 16:53,,101.150756,-1.642729,1.14,739284.0808,9818299.796
6/2/2020 16:53,,101.145361,-1.6422,0.463,738683.6361,9818358.953
6/2/2020 17:00,,101.150159,-1.641048,0.866,739217.8297,9818485.801
6/2/2020 17:00,,101.147208,-1.644911,0.458,738888.8997,9818058.872
6/2/2020 17:01,,101.151571,-1.639326,1.263,739375.2021,9818676.101
6/2/2020 18:01,,101.146262,-1.642653,-0.395,738783.8708,9818308.74
6/2/2020 20:47,,101.151839,-1.640987,0.872,739404.8352,9818492.347
7/2/2020 12:05,,101.154231,-1.633886,0.975,739671.9297,9819277.499
7/2/2020 12:07,,101.152733,-1.63723,0.817,739504.7919,9818907.8
