,id,timestamp,prob,type,filename
7964,ML09,2020-04-29 15:52:17.220,0.13018072,s,ML09_20200429_120_15.mseed
7965,ML09,2020-04-29 14:01:15.200,0.12749246,s,ML09_20200429_120_14.mseed
7966,ML09,2020-04-29 14:14:00.590,0.13884194,s,ML09_20200429_120_14.mseed
7967,ML09,2020-04-29 14:24:40.760,0.20391573,p,ML09_20200429_120_14.mseed
7968,ML09,2020-04-29 14:24:50.380,0.10828971,s,ML09_20200429_120_14.mseed
7969,ML09,2020-04-29 14:25:01.130,0.34138647,s,ML09_20200429_120_14.mseed
7970,ML09,2020-04-29 14:25:01.040,0.10461046,p,ML09_20200429_120_14.mseed
7971,ML09,2020-04-29 14:25:01.170,0.11570305,p,ML09_20200429_120_14.mseed
7972,ML09,2020-04-29 14:39:54.510,0.31494486,p,ML09_20200429_120_14.mseed
7973,ML09,2020-04-29 13:21:11.620,0.13300455,p,ML09_20200429_120_13.mseed
7974,ML09,2020-04-29 13:34:43.310,0.10689272,p,ML09_20200429_120_13.mseed
7975,ML09,2020-04-29 13:35:01.760,0.2667647,s,ML09_20200429_120_13.mseed
7976,ML09,2020-04-29 12:15:11.010,0.699641,p,ML09_20200429_120_12.mseed
7977,ML09,2020-04-29 12:15:11.520,0.11603196,s,ML09_20200429_120_12.mseed
7978,ML09,2020-04-29 12:33:46.390,0.1038447,s,ML09_20200429_120_12.mseed
7979,ML09,2020-04-29 11:03:15.170,0.16619162,p,ML09_20200429_120_11.mseed
7980,ML09,2020-04-29 11:03:15.260,0.2094161,s,ML09_20200429_120_11.mseed
7981,ML09,2020-04-29 11:03:16.580,0.12528102,s,ML09_20200429_120_11.mseed
7982,ML09,2020-04-29 10:01:02.970,0.20065215,s,ML09_20200429_120_10.mseed
7983,ML09,2020-04-29 10:02:15.080,0.6548001,p,ML09_20200429_120_10.mseed
7984,ML09,2020-04-29 10:02:15.240,0.30654308,s,ML09_20200429_120_10.mseed
7985,ML09,2020-04-29 10:03:32.440,0.8617561,p,ML09_20200429_120_10.mseed
7986,ML09,2020-04-29 10:03:32.760,0.32289922,s,ML09_20200429_120_10.mseed
7987,ML09,2020-04-29 10:03:37.400,0.5462873,s,ML09_20200429_120_10.mseed
7988,ML09,2020-04-29 10:03:53.060,0.33951873,p,ML09_20200429_120_10.mseed
7989,ML09,2020-04-29 10:03:53.750,0.38674033,s,ML09_20200429_120_10.mseed
7990,ML09,2020-04-29 10:04:23.310,0.64547163,p,ML09_20200429_120_10.mseed
7991,ML09,2020-04-29 10:04:23.850,0.75040734,s,ML09_20200429_120_10.mseed
7992,ML09,2020-04-29 10:04:49.130,0.3378112,p,ML09_20200429_120_10.mseed
7993,ML09,2020-04-29 10:04:49.340,0.27152422,s,ML09_20200429_120_10.mseed
7994,ML09,2020-04-29 10:04:55.760,0.9094213,p,ML09_20200429_120_10.mseed
7995,ML09,2020-04-29 10:05:36.250,0.21499577,p,ML09_20200429_120_10.mseed
7996,ML09,2020-04-29 10:05:36.640,0.47227395,s,ML09_20200429_120_10.mseed
7997,ML09,2020-04-29 10:06:11.360,0.43655354,p,ML09_20200429_120_10.mseed
7998,ML09,2020-04-29 10:07:03.080,0.35721743,p,ML09_20200429_120_10.mseed
7999,ML09,2020-04-29 10:07:24.760,0.703248,p,ML09_20200429_120_10.mseed
8000,ML09,2020-04-29 10:07:27.250,0.13250777,s,ML09_20200429_120_10.mseed
8001,ML09,2020-04-29 10:07:59.020,0.15038763,p,ML09_20200429_120_10.mseed
8002,ML09,2020-04-29 10:07:59.430,0.120238796,s,ML09_20200429_120_10.mseed
8003,ML09,2020-04-29 10:08:39.470,0.7824713,p,ML09_20200429_120_10.mseed
8004,ML09,2020-04-29 10:08:40.130,0.86003757,s,ML09_20200429_120_10.mseed
8005,ML09,2020-04-29 10:09:20.630,0.5049365,p,ML09_20200429_120_10.mseed
8006,ML09,2020-04-29 10:09:21.080,0.39391047,s,ML09_20200429_120_10.mseed
8007,ML09,2020-04-29 10:09:55.550,0.62861264,p,ML09_20200429_120_10.mseed
8008,ML09,2020-04-29 10:09:58.720,0.4810204,p,ML09_20200429_120_10.mseed
8009,ML09,2020-04-29 10:09:58.900,0.2599249,s,ML09_20200429_120_10.mseed
8010,ML09,2020-04-29 10:10:35.220,0.15559387,s,ML09_20200429_120_10.mseed
8011,ML09,2020-04-29 10:10:35.210,0.11310797,p,ML09_20200429_120_10.mseed
8012,ML09,2020-04-29 10:10:48.610,0.7240267,p,ML09_20200429_120_10.mseed
8013,ML09,2020-04-29 10:10:48.990,0.3859144,s,ML09_20200429_120_10.mseed
8014,ML09,2020-04-29 10:11:19.690,0.106989376,p,ML09_20200429_120_10.mseed
8015,ML09,2020-04-29 10:11:28.020,0.11249614,s,ML09_20200429_120_10.mseed
8016,ML09,2020-04-29 10:11:27.700,0.32741737,p,ML09_20200429_120_10.mseed
8017,ML09,2020-04-29 10:11:47.060,0.51685596,p,ML09_20200429_120_10.mseed
8018,ML09,2020-04-29 10:11:47.480,0.5343953,s,ML09_20200429_120_10.mseed
8019,ML09,2020-04-29 10:12:12.400,0.14284158,p,ML09_20200429_120_10.mseed
8020,ML09,2020-04-29 10:12:21.210,0.49626133,p,ML09_20200429_120_10.mseed
8021,ML09,2020-04-29 10:13:43.470,0.9155656,p,ML09_20200429_120_10.mseed
8022,ML09,2020-04-29 10:14:25.620,0.16600302,p,ML09_20200429_120_10.mseed
8023,ML09,2020-04-29 10:14:28.020,0.46283835,p,ML09_20200429_120_10.mseed
8024,ML09,2020-04-29 10:14:28.130,0.21986075,s,ML09_20200429_120_10.mseed
8025,ML09,2020-04-29 10:18:17.040,0.19429302,p,ML09_20200429_120_10.mseed
8026,ML09,2020-04-29 10:18:31.490,0.2657166,s,ML09_20200429_120_10.mseed
8027,ML09,2020-04-29 10:20:24.300,0.24353348,p,ML09_20200429_120_10.mseed
8028,ML09,2020-04-29 10:20:28.170,0.579357,p,ML09_20200429_120_10.mseed
8029,ML09,2020-04-29 10:20:28.650,0.2634825,s,ML09_20200429_120_10.mseed
