event_id,station_id,timestamp,prob,type
2303,ML01,02:40.0,0.4709599,P
2303,ML01,02:40.1,0.32411414,S
2292,ML01,38:32.9,0.9587836,P
2292,ML01,38:33.6,0.37207937,S
2304,ML01,38:32.9,0.9672094,P
2304,ML01,38:33.6,0.37675273,S
2305,ML01,46:52.4,0.18979552,P
2305,ML01,46:53.2,0.17866284,S
2307,ML01,56:49.3,0.9833972,P
2307,ML01,56:50.1,0.67897344,S
2359,ML01,37:41.8,0.32241738,P
2359,ML01,37:46.6,0.32533038,S
2391,ML01,15:15.0,0.6466802,P
2391,ML01,15:16.1,0.49110454,P
2391,ML01,15:17.3,0.57550603,S
2392,ML01,07:12.0,0.6348316,P
2392,ML01,07:12.9,0.16470908,S
2392,ML01,07:13.5,0.5925619,S
2395,ML01,00:19.0,0.15073568,P
2395,ML01,00:20.0,0.60264087,P
2395,ML01,00:21.3,0.5763081,S
2402,ML01,47:04.5,0.8466444,P
2402,ML01,47:04.6,0.2541818,S
2403,ML01,48:07.5,0.69862163,P
2403,ML01,48:08.6,0.19760853,S
2405,ML01,55:22.4,0.9657209,P
2405,ML01,55:24.0,0.69829684,S
2406,ML01,10:04.7,0.6859369,P
2406,ML01,10:05.7,0.5481582,S
2406,ML01,10:06.3,0.10302387,S
2408,ML01,13:55.7,0.32926267,P
2411,ML01,30:09.2,0.52288675,P
2411,ML01,30:10.1,0.62496847,S
2416,ML01,24:35.0,0.961843,P
2416,ML01,24:36.0,0.72709006,S
2428,ML01,52:49.9,0.42995724,P
2429,ML01,16:55.9,0.30666134,P
2429,ML01,16:56.2,0.32251856,S
2431,ML01,20:27.6,0.56538296,P
2431,ML01,20:28.2,0.25711486,S
2437,ML01,38:48.1,0.9543621,P
2437,ML01,38:48.7,0.39914855,S
2439,ML01,38:54.3,0.35592267,P
2439,ML01,38:56.1,0.11564259,S
2442,ML01,43:34.0,0.48323563,P
2442,ML01,43:35.5,0.61877203,S
2444,ML01,19:30.8,0.20121932,S
2445,ML01,21:38.2,0.40333965,P
2445,ML01,21:39.4,0.5989691,S
2496,ML01,18:54.3,0.8152155,P
2496,ML01,18:54.4,0.2666317,S
2498,ML01,42:49.1,0.5868595,P
2508,ML01,17:31.9,0.9668196,P
2508,ML01,17:32.5,0.6080454,S
2510,ML01,54:12.1,0.77399415,P
2510,ML01,54:13.2,0.29324841,S
2511,ML01,11:57.0,0.67235744,P
2511,ML01,11:57.5,0.11540726,S
2514,ML01,36:25.4,0.6164725,P
2514,ML01,36:25.8,0.7471694,S
460,ML02,16:19.7,0.97824574,P
460,ML02,16:20.4,0.9288464,S
473,ML02,09:06.3,0.6698301,P
473,ML02,09:08.0,0.879152,S
483,ML02,09:23.3,0.9381155,P
483,ML02,09:25.6,0.731065,S
2002,ML02,40:19.9,0.8349,P
2002,ML02,40:21.6,0.7719989,S
470,ML03,04:49.3,0.21898171,P
470,ML03,04:51.6,0.55146587,S
471,ML03,03:19.4,0.2986776,S
475,ML03,45:31.6,0.960546,P
475,ML03,45:32.2,0.76738435,S
476,ML03,51:07.8,0.96910065,P
476,ML03,51:08.3,0.60523164,S
477,ML03,46:47.5,0.96959656,P
477,ML03,46:48.5,0.6478179,S
478,ML03,46:55.0,0.96444625,P
478,ML03,46:55.4,0.13540195,S
478,ML03,46:56.0,0.7212515,S
479,ML03,47:50.4,0.95656717,P
479,ML03,47:51.4,0.73456615,S
484,ML03,25:09.2,0.1510385,S
484,ML03,25:09.1,0.19926786,P
485,ML03,22:01.2,0.49401388,P
485,ML03,22:02.6,0.8320965,S
486,ML03,46:08.4,0.59155554,P
486,ML03,46:09.4,0.3813825,P
486,ML03,46:09.5,0.46388897,S
491,ML03,30:17.5,0.7331984,P
491,ML03,30:20.3,0.50594145,S
492,ML03,41:54.0,0.93532777,P
492,ML03,41:55.9,0.3222837,S
493,ML03,42:15.6,0.89874357,P
493,ML03,42:17.2,0.43966118,S
494,ML03,40:28.9,0.55382156,P
494,ML03,40:30.4,0.305421,S
494,ML03,40:31.3,0.2290956,S
496,ML03,40:12.0,0.8270279,P
496,ML03,40:14.0,0.4533166,S
502,ML03,03:54.6,0.96416736,P
502,ML03,03:56.1,0.8756775,S
2006,ML03,57:39.5,0.6955083,P
2006,ML03,57:41.3,0.686637,S
2017,ML03,46:18.8,0.91441697,P
2017,ML03,46:19.8,0.6604367,S
2023,ML03,21:14.9,0.3841813,P
2023,ML03,21:15.6,0.10454927,P
2023,ML03,21:16.9,0.7675802,S
2049,ML03,18:34.3,0.540798,S
2049,ML03,18:38.1,0.8730995,P
2052,ML03,13:36.5,0.9645118,P
2052,ML03,13:37.5,0.6852241,S
2056,ML03,21:09.0,0.9633989,P
2056,ML03,21:09.9,0.6448913,S
2059,ML03,46:24.9,0.96633387,P
2059,ML03,46:25.8,0.45907953,S
2070,ML03,13:36.5,0.95382124,P
2070,ML03,13:37.5,0.6770157,S
2140,ML03,37:04.2,0.6090058,P
2140,ML03,37:04.8,0.4362535,S
2143,ML03,04:46.6,0.30503622,S
2150,ML03,33:17.1,0.9135013,P
2150,ML03,33:18.2,0.7982016,S
2151,ML03,33:17.1,0.8974892,P
2151,ML03,33:18.2,0.75543904,S
2152,ML03,33:17.1,0.89146936,P
2152,ML03,33:18.2,0.77072877,S
2155,ML03,55:56.2,0.3350738,S
2155,ML03,56:00.0,0.8914122,P
2155,ML03,56:02.4,0.56074744,S
2173,ML03,12:28.2,0.50288904,P
2173,ML03,12:30.0,0.18128209,S
2176,ML03,29:34.0,0.43263236,P
2176,ML03,29:34.2,0.14602078,S
2177,ML03,04:48.2,0.6038532,P
2177,ML03,04:49.3,0.1913292,S
2187,ML03,50:45.2,0.67578393,P
2187,ML03,50:46.3,0.17869118,S
2188,ML03,36:55.1,0.2265514,P
2189,ML03,35:05.6,0.42732257,P
2189,ML03,35:06.7,0.42718565,P
2189,ML03,35:06.7,0.37028247,S
2190,ML03,34:22.2,0.9243911,P
2194,ML03,44:02.1,0.4788598,P
2194,ML03,44:02.3,0.15139727,S
2202,ML03,10:44.5,0.97255,P
2202,ML03,10:45.4,0.9331689,S
2204,ML03,33:46.1,0.97157246,P
2204,ML03,33:47.0,0.7850127,S
2205,ML03,33:46.1,0.970191,P
2205,ML03,33:47.0,0.7741499,S
2213,ML03,22:36.7,0.49103153,P
2213,ML03,22:37.5,0.40376234,S
2216,ML03,57:07.6,0.60660344,P
2216,ML03,57:08.3,0.1926686,S
2217,ML03,58:49.5,0.89246285,P
2217,ML03,58:50.2,0.7777594,S
2228,ML03,03:18.0,0.88817745,P
2231,ML03,34:33.4,0.9613589,P
2231,ML03,34:33.9,0.6312392,S
2261,ML03,02:35.5,0.8775455,P
2261,ML03,02:36.4,0.75067925,S
2262,ML03,04:32.4,0.11612789,P
2262,ML03,04:33.4,0.7719048,P
2262,ML03,04:34.3,0.85087013,S
2265,ML03,44:09.5,0.12085728,P
2265,ML03,44:10.6,0.1756953,P
2265,ML03,44:11.4,0.6698374,S
2266,ML03,22:11.6,0.97868377,P
2266,ML03,22:12.5,0.7256692,S
2269,ML03,05:04.5,0.9740027,P
2269,ML03,05:05.5,0.80863154,S
2270,ML03,18:48.5,0.9549931,P
2270,ML03,18:49.8,0.49048397,S
2273,ML03,21:00.3,0.36427474,S
2273,ML03,21:00.2,0.100890964,P
2273,ML03,21:02.6,0.18216778,S
2287,ML03,02:51.3,0.7409767,P
2287,ML03,02:52.7,0.1619027,S
2287,ML03,02:53.5,0.11527402,S
2353,ML03,31:31.5,0.6962676,P
2353,ML03,31:35.0,0.7469382,S
2364,ML03,54:48.4,0.7341992,P
2364,ML03,54:49.7,0.33228406,S
2364,ML03,54:50.6,0.10129167,S
2376,ML03,33:46.0,0.23166452,S
2382,ML03,19:41.6,0.7072098,P
2382,ML03,19:42.6,0.37225318,S
2383,ML03,26:46.1,0.82933456,P
2383,ML03,26:47.5,0.22536606,S
2383,ML03,26:48.4,0.14921615,S
2393,ML03,39:19.5,0.4727917,S
2393,ML03,39:22.1,0.11221579,S
2399,ML03,22:47.3,0.97278225,P
2399,ML03,22:47.8,0.8770566,S
2400,ML03,29:31.5,0.8167034,P
2400,ML03,29:32.7,0.2872983,S
2401,ML03,29:31.5,0.9529738,P
2401,ML03,29:32.8,0.3558172,S
2409,ML03,24:49.3,0.8793881,P
2409,ML03,24:49.8,0.65303296,S
2412,ML03,31:17.7,0.7660075,P
2412,ML03,31:20.0,0.49595737,S
2425,ML03,31:16.7,0.41733003,S
2427,ML03,50:13.0,0.57710546,P
2427,ML03,50:14.6,0.53175956,S
2429,ML03,16:53.7,0.8765422,P
2429,ML03,16:54.2,0.83227044,S
2430,ML03,16:53.6,0.9055069,P
2430,ML03,16:54.2,0.8606459,S
