id,timestamp,prob,type,filename
RD03,2024-11-02 05:01:46.530,0.14754583,S,RD03_(B157)_RD_20241102_050000
RD09,2024-11-02 05:36:36.970,0.42889425,P,RD09_(B4AE)_RD_20241102_050000
RD10,2024-11-02 05:36:48.730,0.3286837,S,RD10_(B240)_RD_20241102_050000
RD01,2024-11-02 06:01:16.870,0.32072037,S,RD01_(B144)_RD_20241102_060000
RD01,2024-11-02 06:04:09.910,0.24990062,P,RD01_(B144)_RD_20241102_060000
RD01,2024-11-02 06:04:10.090,0.17506632,S,RD01_(B144)_RD_20241102_060000
RD01,2024-11-02 06:55:03.140,0.8440959,P,RD01_(B144)_RD_20241102_060000
RD01,2024-11-02 06:55:04.010,0.81511456,S,RD01_(B144)_RD_20241102_060000
RD04,2024-11-02 06:01:11.560,0.49391368,P,RD04_(B4BD)_RD_20241102_060000
RD04,2024-11-02 06:01:12.550,0.10367004,P,RD04_(B4BD)_RD_20241102_060000
RD04,2024-11-02 06:01:13.710,0.7717576,S,RD04_(B4BD)_RD_20241102_060000
RD04,2024-11-02 06:01:22.460,0.16787736,S,RD04_(B4BD)_RD_20241102_060000
RD04,2024-11-02 06:55:03.370,0.8714595,P,RD04_(B4BD)_RD_20241102_060000
RD04,2024-11-02 06:55:04.490,0.7081811,S,RD04_(B4BD)_RD_20241102_060000
RD05,2024-11-02 06:04:00.020,0.37453857,P,RD05_(B13C)_RD_20241102_060000
RD05,2024-11-02 06:04:00.230,0.73953027,S,RD05_(B13C)_RD_20241102_060000
RD06,2024-11-02 06:55:02.460,0.6378157,P,RD06_(B269)_RD_20241102_060000
RD06,2024-11-02 06:55:02.960,0.71337795,S,RD06_(B269)_RD_20241102_060000
RD08,2024-11-02 06:27:40.450,0.5622688,S,RD08_(B264)_RD_20241102_060000
RD08,2024-11-02 06:55:01.620,0.27523285,S,RD08_(B264)_RD_20241102_060000
RD10,2024-11-02 06:04:06.940,0.11297944,P,RD10_(B240)_RD_20241102_060000
RD10,2024-11-02 06:04:24.470,0.1022991,S,RD10_(B240)_RD_20241102_060000
RD12,2024-11-02 06:53:41.860,0.17395993,P,RD12_(B243)_RD_20241102_060000
RD01,2024-11-02 07:11:41.170,0.8556908,P,RD01_(B144)_RD_20241102_070000
RD01,2024-11-02 07:11:41.870,0.7516533,S,RD01_(B144)_RD_20241102_070000
RD08,2024-11-02 07:42:39.190,0.44662124,S,RD08_(B264)_RD_20241102_070000
RD12,2024-11-02 07:25:36.980,0.40701187,P,RD12_(B243)_RD_20241102_070000
RD03,2024-11-02 08:54:06.040,0.77114797,P,RD03_(B157)_RD_20241102_080000
RD03,2024-11-02 08:54:20.810,0.5921827,S,RD03_(B157)_RD_20241102_080000
RD08,2024-11-02 08:22:37.950,0.10343479,P,RD08_(B264)_RD_20241102_080000
RD08,2024-11-02 08:48:07.930,0.1125735,P,RD08_(B264)_RD_20241102_080000
RD03,2024-11-02 09:58:36.970,0.1697064,P,RD03_(B157)_RD_20241102_090000
