id,origin_time,lon,lat,utm_x,utm_y,depth_km,depth_m,elevation_m,elevation_km,magnitude,CID,RCC,RCT,remarks
34,2024-11-20 04:23:05.990,103.355046,-4.242608,317431.0690790063,9530861.820914743,-0.4059999999999999,-405.99999999999994,405.99999999999994,0.4059999999999999,0.0,1,0.013,0.026,WCC
35,2024-11-20 05:10:57.940,103.360555,-4.240635,318042.202485026,9531081.2947886,-0.7569999999999999,-756.9999999999999,756.9999999999999,0.7569999999999999,0.0,1,0.013,0.023,WCC
36,2024-11-20 05:12:18.650,103.356006,-4.239686,317536.9601317082,9531185.166242663,-0.6419999999999999,-641.9999999999999,641.9999999999999,0.6419999999999999,0.0,1,0.015,0.027,WCC
37,2024-11-20 05:22:44.730,103.376538,-4.21326,319810.26601097616,9534112.166946424,0.4660000000000002,466.00000000000017,-466.00000000000017,-0.4660000000000002,0.0,1,0.007,0.022,WCC
38,2024-11-20 05:23:33.270,103.356226,-4.240587,317561.5954905341,9531085.58419932,-0.125,-125.0,125.0,0.125,0.0,1,0.015,0.029,WCC
39,2024-11-20 05:31:13.570,103.355094,-4.2414,317436.1141716124,9530995.414678479,-0.528,-528.0,528.0,0.528,0.0,1,0.012,0.028,WCC
40,2024-11-20 06:33:27.450,103.360791,-4.243569,318069.0894466317,9530756.905057887,-0.5289999999999999,-528.9999999999999,528.9999999999999,0.5289999999999999,0.0,1,0.018,0.028,WCC
41,2024-11-20 06:40:00.110,103.358545,-4.240224,317818.96068346093,9531126.271137308,-0.6399999999999999,-639.9999999999999,639.9999999999999,0.6399999999999999,0.0,1,0.016,0.025,WCC
42,2024-11-20 07:12:11.660,103.359017,-4.242641,317871.9273768909,9530859.10720887,-0.558,-558.0,558.0,0.558,0.0,1,0.017,0.028,WCC
43,2024-11-20 07:35:08.760,103.357186,-4.241843,317668.4672004322,9530946.920084514,-0.365,-365.0,365.0,0.365,0.0,1,0.015,0.028,WCC
44,2024-11-20 08:04:32.320,103.355387,-4.240849,317468.5130066148,9531056.414150354,-0.472,-472.0,472.0,0.472,0.0,1,0.014,0.027,WCC
45,2024-11-20 10:04:52.590,103.354793,-4.240858,317402.57050158683,9531055.278876135,-0.2430000000000001,-243.0000000000001,243.0000000000001,0.2430000000000001,0.0,1,0.014,0.024,WCC
